Time,aurn_co,SiteNumber,SiteName,Longitude,Latitude
2019-02-25,0.3,99,London N. Kensington,-0.213492,51.52105
2019-02-26,0.36,99,London N. Kensington,-0.213492,51.52105
2019-02-27,0.37,99,London N. Kensington,-0.213492,51.52105
2019-02-28,0.16,99,London N. Kensington,-0.213492,51.52105
2019-03-01,0.13,99,London N. Kensington,-0.213492,51.52105
2019-03-02,0.11,99,London N. Kensington,-0.213492,51.52105
2019-03-03,0.098,99,London N. Kensington,-0.213492,51.52105
2019-03-04,,99,London N. Kensington,-0.213492,51.52105
2019-03-05,,99,London N. Kensington,-0.213492,51.52105
2019-03-06,0.12,99,London N. Kensington,-0.213492,51.52105
2019-03-07,0.11,99,London N. Kensington,-0.213492,51.52105
2019-03-08,0.14,99,London N. Kensington,-0.213492,51.52105
